246192,Gizmos,2018,7.36601,405,2.0423
143693,Glass Road,2013,7.41686,361,2.9525
174430,Gloomhaven,2017,8.56402,4,3.9133
363669,Golden Animals,2022,6.74138,,1.5
341169,Great Western Trail: Second Edition,2021,8.29001,27,3.6996
339958,Gutenberg,2021,7.29959,1413,2.7059
233848,Hako Onna,2016,6.53301,8698,2.7
98778,Hanabi,2010,7.03432,562,1.6885
194626,Happy Salmon,2016,6.66269,1672,1.0656
223750,Hardback,2018,7.13724,1223,2.087
414317,Harmonies,2024,8.02205,84,2.002
395623,Harvest,2024,7.38686,2222,2.6604
15390,Harvest,1992,7.31211,3836,1.0714
366013,Heat: Pedal to the Metal,2022,8.02221,42,2.1912
198994,Hero Realms,2016,7.50532,283,1.8506
320718,Hidden Leaders,2022,6.73783,2124,1.8111
2655,Hive,2001,7.31804,319,2.3149
370621,Hollywood 1947,2023,7.17204,3630,1.9375
284742,Honey Buzz,2020,7.52454,450,2.7321
377480,Hooky,2023,7.47276,3945,2.4286
159143,HUE,2015,6.32786,5901,1.4444
371972,Ierusalem: Anno Domini,2023,7.55613,1679,3.0952
102181,In a Grove,2010,6.34047,4709,1.4694
212404,In Vino Morte,2016,6.61286,4282,1.1905
15512,Incan Gold,2005,6.84242,876,1.1118
304285,Infinity Gauntlet: A Love Letter Game,2020,6.935,1571,1.2381
155821,Inis,2016,7.8207,116,2.9507
63888,Innovation,2010,7.30055,385,2.7719
271324,It's a Wonderful World,2019,7.6482,175,2.321
327778,ito,2019,7.29548,1842,1.0312
54043,Jaipur,2009,7.48337,197,1.4638
28023,Jamaica,2007,7.06063,632,1.6596
254640,Just One,2018,7.6005,154,1.0359
122515,Keyflower,2012,7.71722,124,3.3369
70323,King of Tokyo,2011,7.12387,452,1.4851
204583,Kingdomino,2016,7.29798,312,1.2316
378889,KINGs: TRICKTAKERs,2023,7.57254,5551,2.6667
165722,KLASK,2014,7.63203,250,1.0507
348450,Lacrimosa,2022,7.65442,614,3.1642
374201,Lata,2023,7.17459,4513,2.25
35677,Le Havre,2008,7.84074,74,3.71
169147,Letter Tycoon,2015,6.75822,2848,2.0
59959,Letters from Whitechapel,2011,7.34041,403,2.6419
125618,Libertalia,2012,7.10896,628,2.234
161383,LIE,2015,6.22982,7793,1.3571
50,Lost Cities,1999,7.25016,339,1.4753
312484,Lost Ruins of Arnak,2020,8.07136,28,2.9248
